airbnb_listing_id,number_of_bedrooms,number_of_bathrooms,number_of_guests,listing_type,owner_id,suburb_norm,perfil,noites,receita_bruta,adr,adr_mediana,data_min,data_max,receita_anual_potencial,receita_anual_60,is_superhost
41664387,1,1.0,2,outros,326128329,Meia Praia,Studio/1q,45,8129.0,180.64444444444445,180.0,2025-01-28,2025-04-07,65935.22222222222,39561.13333333333,True
1077396104359577731,3,2.0,6,apartamento,298807706,Meia Praia,3q+,20,23517.8333,603.0213666666666,600.0,2025-02-11,2025-04-07,220102.7988333333,132061.6793,False
1002785860497857801,3,2.0,6,apartamento,109364961,Meia Praia,3q+,80,118832.5,600.1641414141415,600.0,2025-01-23,2025-04-20,219059.91161616164,131435.946969697,True
694313018923554703,3,2.0,7,apartamento,104163128,Meia Praia,3q+,29,79300.1666,1258.732803174603,1040.0,2025-01-31,2025-03-31,459437.47315873014,275662.4838952381,True
22648075,2,2.0,6,apartamento,166783222,Centro,2q,65,25783.0,396.66153846153844,348.0,2025-02-02,2025-04-16,144781.46153846153,86868.87692307691,False
41682475,3,2.0,8,apartamento,329011622,Meia Praia,3q+,43,20200.0,469.7674418604651,400.0,2025-01-27,2025-04-20,171465.11627906977,102879.06976744186,False
46048925,3,3.0,8,apartamento,139478367,Meia Praia,3q+,91,220480.4161,975.5770623893806,910.0,2025-01-13,2025-04-20,356085.6277721239,213651.37666327434,False
1004496327455456339,2,2.0,6,apartamento,55102257,Morretes,2q,81,86167.0,402.64953271028037,380.0,2025-01-10,2025-04-19,146967.07943925232,88180.24766355139,True
673826267743797671,3,4.0,8,apartamento,157399374,Meia Praia,3q+,27,59340.375,732.5972222222222,704.0,2025-03-05,2025-03-31,267397.98611111107,160438.79166666663,True
1147824179020677628,1,1.0,4,apartamento,381365841,Centro,Studio/1q,49,52696.5,466.3407079646018,440.0,2025-01-21,2025-04-19,170214.35840707965,102128.61504424778,False
1045520246239520927,3,3.0,6,apartamento,506593553,Centro,3q+,81,140815.5101,951.4561493243244,953.57145,2025-01-30,2025-04-20,347281.4945033784,208368.89670202704,False
20943549,2,2.0,6,apartamento,138334153,Meia Praia,2q,65,68041.89998,425.261874875,400.0,2025-01-25,2025-04-20,155220.584329375,93132.350597625,False
47213093,2,2.0,4,apartamento,249951767,Meia Praia,2q,22,19173.0,290.5,290.5,2025-02-17,2025-03-31,106032.5,63619.5,True
53474066,3,2.0,7,apartamento,433015716,Centro,3q+,39,78620.0,883.370786516854,850.0,2025-01-21,2025-04-20,322430.3370786517,193458.20224719102,False
1249385754807434824,1,1.0,4,apartamento,227777128,Centro,Studio/1q,78,115309.8334,600.5720489583333,607.0,2025-01-24,2025-04-20,219208.79786979166,131525.278721875,False
50958684,3,3.0,8,apartamento,327430438,Meia Praia,3q+,74,190726.0004,1019.9251358288769,920.0,2025-01-12,2025-04-20,372272.6745775401,223363.60474652404,True
34218930,3,3.0,8,apartamento,157399374,Meia Praia,3q+,58,111865.3582,760.988831292517,628.5,2025-01-27,2025-04-19,277760.9234217687,166656.5540530612,True
